uid,kind,node_id,lon,lat,x,y,fraction,load_type,source_layer,container_id_kmz,container_name
BASE,base,13616991763,-0.9518381084369917,37.61673275256623,680764.8879611113,4165264.66319427,,,,,
DUMP,dump,13616991764,-0.884112880299241,37.587229423231385,686816.6130872054,4162123.502861549,,,,,
Papel Carton Lateral.kmz::17410 - 0FCC00612440D23E,container,13616990670,-0.9733948222197799,37.608344157022316,678882.2516766548,4164292.5271952213,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17410 - 0FCC00612440D23E,17410 - 0FCC00612440D23E
Papel Carton Lateral.kmz::17474 - 0FCC00612437AB00,container,335566770,-0.9969978999999999,37.6223593,676765.463548278,4165802.947158669,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17474 - 0FCC00612437AB00,17474 - 0FCC00612437AB00
Papel Carton Lateral.kmz::17579 - 0FCC00612440EEED,container,13616990672,-0.9823022702813292,37.613627787390186,678083.3289234441,4164861.8689245395,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17579 - 0FCC00612440EEED,17579 - 0FCC00612440EEED
Papel Carton Lateral.kmz::17595 - 0FCC006124372B44,container,13616990673,-0.9925711851016855,37.619634108852715,677162.63342857,4165508.9038381637,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17595 - 0FCC006124372B44,17595 - 0FCC006124372B44
Papel Carton Lateral.kmz::17605 - 0FCC0061244090FB,container,13616990674,-0.9850808022840128,37.61734867517116,677829.2019054362,4165269.477829604,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17605 - 0FCC0061244090FB,17605 - 0FCC0061244090FB
Papel Carton Lateral.kmz::17607 - 0FCC0061244116AD,container,13616990675,-0.9909863441410912,37.622011509117826,677296.8671374924,4165775.700058219,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17607 - 0FCC0061244116AD,17607 - 0FCC0061244116AD
Papel Carton Lateral.kmz::17637 - 0FCC00612440B26A,container,13616990676,-0.9721343968287469,37.61150958211285,678985.9275873409,4164646.174506636,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17637 - 0FCC00612440B26A,17637 - 0FCC00612440B26A
Papel Carton Lateral.kmz::17643 - 0FCC0061243E6122,container,13616990677,-1.003423888277362,37.64795514579842,676137.8497078053,4168631.036573817,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17643 - 0FCC0061243E6122,17643 - 0FCC0061243E6122
Papel Carton Lateral.kmz::17644 - 0FCC006124374BD9,container,13616990678,-1.0015291354572036,37.62361047442157,676362.5817204649,4165933.2517903442,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17644 - 0FCC006124374BD9,17644 - 0FCC006124374BD9
Papel Carton Lateral.kmz::17645 - 0FCC00612436CE40,container,13616990679,-1.0021075109215078,37.64736622276175,676255.3849118438,4168568.161970588,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17645 - 0FCC00612436CE40,17645 - 0FCC00612436CE40
Papel Carton Lateral.kmz::17646 - 0FCC006124370CCC,container,13616990680,-0.9997341543243792,37.623801517959706,676520.5511403573,4165957.826623648,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17646 - 0FCC006124370CCC,17646 - 0FCC006124370CCC
Papel Carton Lateral.kmz::17647 - 0FCC00612437AB4D,container,13616990681,-0.9993128852330585,37.62273179456335,676560.2627087535,4165839.9204069786,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17647 - 0FCC00612437AB4D,17647 - 0FCC00612437AB4D
Papel Carton Lateral.kmz::17648 - 0FCC00612440B099,container,13616990682,-1.0078137938953138,37.64435806323961,675759.0124521211,4168223.656759484,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17648 - 0FCC00612440B099,17648 - 0FCC00612440B099
Papel Carton Lateral.kmz::17649 - 0FCC006124370D99,container,13616990681,-0.9993128852330585,37.62273179456335,676560.2627087535,4165839.9204069786,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17649 - 0FCC006124370D99,17649 - 0FCC006124370D99
Papel Carton Lateral.kmz::17650 - 0FCC0061243F247E,container,13616990683,-1.0045109035738071,37.65188286560228,676032.6676616383,4169064.8253706605,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17650 - 0FCC0061243F247E,17650 - 0FCC0061243F247E
Papel Carton Lateral.kmz::17651 - 0FCC006124376D07,container,13616990684,-0.9991554311990282,37.62033080371643,676579.8411692698,4165573.797235359,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17651 - 0FCC006124376D07,17651 - 0FCC006124376D07
Papel Carton Lateral.kmz::17652 - 0FCC006124378EA1,container,13616990685,-1.000788212430825,37.62105257033675,676434.0222854713,4165650.8140775976,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17652 - 0FCC006124378EA1,17652 - 0FCC006124378EA1
Papel Carton Lateral.kmz::17653 - 0FCC0061243769B8,container,13616990686,-1.0029492965499953,37.620395842784106,676244.8339767826,4165573.8799272645,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17653 - 0FCC0061243769B8,17653 - 0FCC0061243769B8
Papel Carton Lateral.kmz::17654 - 0FCC0061243705C1,container,13616990687,-1.0007792860848772,37.619784035590776,676437.8094870584,4165510.071356686,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17654 - 0FCC0061243705C1,17654 - 0FCC0061243705C1
Papel Carton Lateral.kmz::17655 - 0FCC00612437EC64,container,13616990688,-1.0047630051114513,37.636654993648364,676046.3789929692,4167374.627646046,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17655 - 0FCC00612437EC64,17655 - 0FCC00612437EC64
Papel Carton Lateral.kmz::17656 - 0FCC006124370E86,container,13616990689,-1.0010657942316663,37.61888633555304,676414.6437477266,4165409.921735798,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17656 - 0FCC006124370E86,17656 - 0FCC006124370E86
Papel Carton Lateral.kmz::17657 - 0FCC006124376C7F,container,13616990690,-1.0100446814943118,37.62164730782843,675615.6379391759,4165699.438985118,PAPEL_CARTON,LATERAL,Papel Carton Lateral.kmz,17657 - 0FCC006124376C7F,17657 - 0FCC006124376C7F
