uid,kind,node_id,lon,lat,x,y,fraction,load_type,source_layer,container_id_kmz,container_name
BASE,base,13616991975,-0.9518381084369917,37.61673275256623,680764.8879611113,4165264.66319427,,,,,
DUMP,dump,13616991976,-0.884112880299241,37.587229423231385,686816.6130872054,4162123.502861549,,,,,
Envases Lateral.kmz::14264 - 0FCC0061244093B7,container,13616990670,-0.996094187450481,37.60345064580037,676890.0300579241,4163706.5038275435,ENVASES,LATERAL,Envases Lateral.kmz,14264 - 0FCC0061244093B7,14264 - 0FCC0061244093B7
Envases Lateral.kmz::14288 - 0FCC0061243706C9,container,13616990672,-0.99314511161123,37.60954513931753,677135.919682824,4164388.3247347465,ENVASES,LATERAL,Envases Lateral.kmz,14288 - 0FCC0061243706C9,14288 - 0FCC0061243706C9
Envases Lateral.kmz::17138 - 0FCC00612440AEFE,container,13616990673,-0.9893605383423997,37.60917868357371,677470.8731561968,4164354.8128950084,ENVASES,LATERAL,Envases Lateral.kmz,17138 - 0FCC00612440AEFE,17138 - 0FCC00612440AEFE
Envases Lateral.kmz::17139 - 0FCC0061244116BE,container,13616990674,-0.9869542625676619,37.60785159836012,677686.4463679087,4164212.110078457,ENVASES,LATERAL,Envases Lateral.kmz,17139 - 0FCC0061244116BE,17139 - 0FCC0061244116BE
Envases Lateral.kmz::17140 - 0FCC00612440F808,container,13616990675,-0.991594025980262,37.61058992459504,677270.360272535,4164507.185617329,ENVASES,LATERAL,Envases Lateral.kmz,17140 - 0FCC00612440F808,17140 - 0FCC00612440F808
Envases Lateral.kmz::17141 - 0FCC006124374B5A,container,13616990676,-0.991062992267286,37.61458955018766,677307.7353610093,4164951.9967117575,ENVASES,LATERAL,Envases Lateral.kmz,17141 - 0FCC006124374B5A,17141 - 0FCC006124374B5A
Envases Lateral.kmz::17142 - 0FCC00612440B87A,container,13616990677,-0.9929812195720791,37.61255649794052,677143.240803795,4164722.7812918685,ENVASES,LATERAL,Envases Lateral.kmz,17142 - 0FCC00612440B87A,17142 - 0FCC00612440B87A
Envases Lateral.kmz::17143 - 0FCC00612436E8F6,container,13616990678,-0.9860081067183618,37.61183940848069,677760.4736770982,4164656.398895078,ENVASES,LATERAL,Envases Lateral.kmz,17143 - 0FCC00612436E8F6,17143 - 0FCC00612436E8F6
Envases Lateral.kmz::17144 - 0FCC006124408EF8,container,13616990679,-0.9850958532072132,37.607661303304326,677850.9542024152,4164194.515041456,ENVASES,LATERAL,Envases Lateral.kmz,17144 - 0FCC006124408EF8,17144 - 0FCC006124408EF8
Envases Lateral.kmz::17145 - 0FCC00612436CA1F,container,13616990680,-0.9924715827621601,37.60884738809525,677197.0314820667,4164312.1723388745,ENVASES,LATERAL,Envases Lateral.kmz,17145 - 0FCC00612436CA1F,17145 - 0FCC00612436CA1F
Envases Lateral.kmz::17146 - 0FCC00612440F2FF,container,13616990681,-0.9867304337379281,37.61169651531264,677697.0525181497,4164639.1749446355,ENVASES,LATERAL,Envases Lateral.kmz,17146 - 0FCC00612440F2FF,17146 - 0FCC00612440F2FF
Envases Lateral.kmz::17147 - 0FCC00612437AE57,container,13616990682,-0.986435830102426,37.60858539591666,677730.4649551933,4164294.5157497325,ENVASES,LATERAL,Envases Lateral.kmz,17147 - 0FCC00612437AE57,17147 - 0FCC00612437AE57
Envases Lateral.kmz::17148 - 0FCC0061243748A8,container,13616990683,-0.9858662817549383,37.60680829047421,677784.9743652849,4164098.4028735147,ENVASES,LATERAL,Envases Lateral.kmz,17148 - 0FCC0061243748A8,17148 - 0FCC0061243748A8
Envases Lateral.kmz::17149 - 0FCC006303A32998,container,13616990684,-0.9865051702588665,37.60931824798387,677722.5991840884,4164375.703401109,ENVASES,LATERAL,Envases Lateral.kmz,17149 - 0FCC006303A32998,17149 - 0FCC006303A32998
Envases Lateral.kmz::17150 - 0FCC006124376C35,container,13616990685,-0.9885113280503709,37.611922968939304,677539.3103368141,4164660.9316231394,ENVASES,LATERAL,Envases Lateral.kmz,17150 - 0FCC006124376C35,17150 - 0FCC006124376C35
Envases Lateral.kmz::17151 - 0FCC00612436E7D8,container,13616990686,-0.9902830221770714,37.61419837142897,677377.5120250867,4164910.064835936,ENVASES,LATERAL,Envases Lateral.kmz,17151 - 0FCC00612436E7D8,17151 - 0FCC00612436E7D8
Envases Lateral.kmz::17152 - 0FCC0061243729C4,container,13616990687,-0.9936563420626887,37.60907216556811,677091.9129696231,4164334.8775838315,ENVASES,LATERAL,Envases Lateral.kmz,17152 - 0FCC0061243729C4,17152 - 0FCC0061243729C4
Envases Lateral.kmz::17153 - 0FCC00612440B144,container,13616990688,-0.9863933758969433,37.60813765589813,677735.2786213363,4164244.9138827105,ENVASES,LATERAL,Envases Lateral.kmz,17153 - 0FCC00612440B144,17153 - 0FCC00612440B144
Envases Lateral.kmz::17154 - 0FCC006124374B34,container,13616990689,-0.9909483939818787,37.60980643735347,677329.2136626887,4164421.4680031626,ENVASES,LATERAL,Envases Lateral.kmz,17154 - 0FCC006124374B34,17154 - 0FCC006124374B34
Envases Lateral.kmz::17155 - 0FCC0061243729B3,container,13616990690,-0.9930019644103387,37.6099257464809,677147.6527621173,4164430.8279884127,ENVASES,LATERAL,Envases Lateral.kmz,17155 - 0FCC0061243729B3,17155 - 0FCC0061243729B3
Envases Lateral.kmz::17156 - 0FCC0061243728FF,container,13616990688,-0.9863933758969433,37.60813765589813,677735.2786213363,4164244.9138827105,ENVASES,LATERAL,Envases Lateral.kmz,17156 - 0FCC0061243728FF,17156 - 0FCC0061243728FF
Envases Lateral.kmz::17157 - 0FCC0061243CB542,container,13616990692,-0.9883609224165605,37.61253911913943,677551.1213139147,4164729.585700473,ENVASES,LATERAL,Envases Lateral.kmz,17157 - 0FCC0061243CB542,17157 - 0FCC0061243CB542
Envases Lateral.kmz::17158 - 0FCC00612436A9C7,container,13616990694,-0.992621169864559,37.608479709381434,677184.6992620515,4164271.0914294426,ENVASES,LATERAL,Envases Lateral.kmz,17158 - 0FCC00612436A9C7,17158 - 0FCC00612436A9C7
Envases Lateral.kmz::17159 - 0FCC006124372C4D,container,13616990695,-0.98603625747722,37.6067314620908,677770.1521756928,4164089.5558097456,ENVASES,LATERAL,Envases Lateral.kmz,17159 - 0FCC006124372C4D,17159 - 0FCC006124372C4D
Envases Lateral.kmz::17160 - 0FCC00612436EA34,container,13616990697,-0.9909204763547136,37.608834025353914,677333.9880361004,4164313.6197200064,ENVASES,LATERAL,Envases Lateral.kmz,17160 - 0FCC00612436EA34,17160 - 0FCC00612436EA34
Envases Lateral.kmz::17161 - 0FCC00612436E5A7,container,13616990698,-0.9872225987953348,37.60669411928994,677665.513023597,4164083.165474573,ENVASES,LATERAL,Envases Lateral.kmz,17161 - 0FCC00612436E5A7,17161 - 0FCC00612436E5A7
Envases Lateral.kmz::17162 - 0FCC0061243745DA,container,13616990700,-0.9884085431196692,37.6098874232556,677553.2250231083,4164435.257198903,ENVASES,LATERAL,Envases Lateral.kmz,17162 - 0FCC0061243745DA,17162 - 0FCC0061243745DA
Envases Lateral.kmz::17163 - 0FCC006124376B43,container,13616990701,-0.9919226145731734,37.608345256930036,677246.6841561395,4164257.4915179177,ENVASES,LATERAL,Envases Lateral.kmz,17163 - 0FCC006124376B43,17163 - 0FCC006124376B43
Envases Lateral.kmz::17164 - 0FCC0061243726F0,container,13616990702,-0.9878106087562881,37.608545276680736,677609.2005132103,4164287.461066281,ENVASES,LATERAL,Envases Lateral.kmz,17164 - 0FCC0061243726F0,17164 - 0FCC0061243726F0
Envases Lateral.kmz::17165 - 0FCC00612441365A,container,13616990693,-0.987638880140612,37.61256306607647,677614.7999101876,4164733.6094543473,ENVASES,LATERAL,Envases Lateral.kmz,17165 - 0FCC00612441365A,17165 - 0FCC00612441365A
