uid,kind,node_id,lon,lat,x,y,fraction,load_type,source_layer,container_id_kmz,container_name
BASE,base,13616992967,-0.9518381084369917,37.61673275256623,680764.8879611113,4165264.66319427,,,,,
DUMP,dump,13616992968,-0.884112880299241,37.587229423231385,686816.6130872054,4162123.502861549,,,,,
Resto Lateral.kmz::14001 - 0FCC00612440CCDB,container,13616990670,-0.9721730235194619,37.61064094086812,678984.6007189255,4164549.714111151,RESTO,LATERAL,Resto Lateral.kmz,14001 - 0FCC00612440CCDB,14001 - 0FCC00612440CCDB
Resto Lateral.kmz::14002 - 0FCC006124408EEF,container,13616990672,-0.9709787787841929,37.60853066715785,679095.0839518041,4164317.8312757406,RESTO,LATERAL,Resto Lateral.kmz,14002 - 0FCC006124408EEF,14002 - 0FCC006124408EEF
Resto Lateral.kmz::14003 - 0FCC0061244093DF,container,13616990671,-0.9709929925450204,37.608531939659805,679093.8261616571,4164317.9453480192,RESTO,LATERAL,Resto Lateral.kmz,14003 - 0FCC0061244093DF,14003 - 0FCC0061244093DF
Resto Lateral.kmz::14004 - 0FCC006124404EDF,container,13616990673,-0.9700737999237485,37.60903121885768,679173.770692988,4164375.101407532,RESTO,LATERAL,Resto Lateral.kmz,14004 - 0FCC006124404EDF,14004 - 0FCC006124404EDF
Resto Lateral.kmz::14005 - 0FCC0061244090DF,container,13616990673,-0.9700737999237485,37.60903121885768,679173.770692988,4164375.101407532,RESTO,LATERAL,Resto Lateral.kmz,14005 - 0FCC0061244090DF,14005 - 0FCC0061244090DF
Resto Lateral.kmz::14006 - 0FCC006124378C3B,container,13616990674,-0.9770960166975269,37.60699111147722,678558.7597221612,4164135.340797472,RESTO,LATERAL,Resto Lateral.kmz,14006 - 0FCC006124378C3B,14006 - 0FCC006124378C3B
Resto Lateral.kmz::14007 - 0FCC006124378B9B,container,13616990675,-0.9770784438775864,37.6069916496554,678560.3097279636,4164135.433952437,RESTO,LATERAL,Resto Lateral.kmz,14007 - 0FCC006124378B9B,14007 - 0FCC006124378B9B
Resto Lateral.kmz::14008 - 0FCC0061243767E3,container,13616990676,-0.975458512624191,37.60704121158931,678703.1953641705,4164144.0171063757,RESTO,LATERAL,Resto Lateral.kmz,14008 - 0FCC0061243767E3,14008 - 0FCC0061243767E3
Resto Lateral.kmz::14009 - 0FCC006124370BA0,container,13616990677,-0.9754465192126622,37.607041577733774,678704.2532414036,4164144.0805740966,RESTO,LATERAL,Resto Lateral.kmz,14009 - 0FCC006124370BA0,14009 - 0FCC006124370BA0
Resto Lateral.kmz::14010 - 0FCC00612436A6F1,container,13616990680,-0.9748150284135252,37.60645431769021,678761.406098153,4164080.119484474,RESTO,LATERAL,Resto Lateral.kmz,14010 - 0FCC00612436A6F1,14010 - 0FCC00612436A6F1
Resto Lateral.kmz::14011 - 0FCC006124378D14,container,13616990681,-0.9763979109004847,37.604552421764645,678626.2216404009,4163866.0663476544,RESTO,LATERAL,Resto Lateral.kmz,14011 - 0FCC006124378D14,14011 - 0FCC006124378D14
Resto Lateral.kmz::14012 - 0FCC00612436CA71,container,13616990681,-0.9763979109004847,37.604552421764645,678626.2216404009,4163866.0663476544,RESTO,LATERAL,Resto Lateral.kmz,14012 - 0FCC00612436CA71,14012 - 0FCC00612436CA71
Resto Lateral.kmz::14013 - 0FCC006124370A11,container,13616990683,-0.9773582653662922,37.605015717211664,678540.3328367182,4163915.647236515,RESTO,LATERAL,Resto Lateral.kmz,14013 - 0FCC006124370A11,14013 - 0FCC006124370A11
Resto Lateral.kmz::14014 - 0FCC00612437EB71,container,13616990682,-0.9773797451122643,37.60500797549352,678538.4551107474,4163914.7473316216,RESTO,LATERAL,Resto Lateral.kmz,14014 - 0FCC00612437EB71,14014 - 0FCC00612437EB71
