uid,kind,node_id,lon,lat,x,y,fraction,load_type,source_layer,container_id_kmz,container_name
BASE,base,13616991890,-0.9518381084369917,37.61673275256623,680764.8879611113,4165264.66319427,,,,,
DUMP,dump,13616992112,-0.884112880299241,37.587229423231385,686816.6130872054,4162123.502861549,,,,,
Resto Trasera.kmz::15889 - 0FCC00612437EBAB,container,13616990670,-0.9762057585669278,37.608635641684906,678633.4148303603,4164319.5163241527,RESTO,TRASERA,Resto Trasera.kmz,15889 - 0FCC00612437EBAB,15889 - 0FCC00612437EBAB
Resto Trasera.kmz::15890 - 0FCC0061243728BE,container,13616990672,-0.9864153247069636,37.643100105796805,677650.0705337268,4168124.397255255,RESTO,TRASERA,Resto Trasera.kmz,15890 - 0FCC0061243728BE,15890 - 0FCC0061243728BE
Resto Trasera.kmz::15891 - 0FCC006124370C05,container,13616990675,-0.9767913668567902,37.607447423290495,678584.5620481294,4164186.554014666,RESTO,TRASERA,Resto Trasera.kmz,15891 - 0FCC006124370C05,15891 - 0FCC006124370C05
Resto Trasera.kmz::15892 - 0FCC006124409037,container,13616990673,-0.9767932229678492,37.60748351047593,678584.3118706162,4164190.554806159,RESTO,TRASERA,Resto Trasera.kmz,15892 - 0FCC006124409037,15892 - 0FCC006124409037
Resto Trasera.kmz::15893 - 0FCC006124370B52,container,13616990674,-0.9767919488529804,37.607458738673934,678584.4836032618,4164187.8084901585,RESTO,TRASERA,Resto Trasera.kmz,15893 - 0FCC006124370B52,15893 - 0FCC006124370B52
Resto Trasera.kmz::15894 - 0FCC00612436ED31,container,13616990676,-0.9882830058631612,37.63926134023993,677494.4131350695,4167694.8999856273,RESTO,TRASERA,Resto Trasera.kmz,15894 - 0FCC00612436ED31,15894 - 0FCC00612436ED31
Resto Trasera.kmz::15895 - 0FCC00612437AE2E,container,13616990677,-0.9891178037964381,37.637817954735475,677424.1850185341,4167533.158126205,RESTO,TRASERA,Resto Trasera.kmz,15895 - 0FCC00612437AE2E,15895 - 0FCC00612437AE2E
Resto Trasera.kmz::15896 - 0FCC00612440EF6E,container,13616990681,-0.9885707105497366,37.62621390554891,677500.0731671078,4166246.57690863,RESTO,TRASERA,Resto Trasera.kmz,15896 - 0FCC00612440EF6E,15896 - 0FCC00612440EF6E
Resto Trasera.kmz::15897 - 0FCC006124372E9A,container,2327162090,-0.9662438999999994,37.6290234,679463.7717730345,4166600.810895224,RESTO,TRASERA,Resto Trasera.kmz,15897 - 0FCC006124372E9A,15897 - 0FCC006124372E9A
Resto Trasera.kmz::15898 - 0FCC00612436CA41,container,13616990678,-0.9901111120648591,37.63667630590417,677339.2490081121,4167404.5987646673,RESTO,TRASERA,Resto Trasera.kmz,15898 - 0FCC00612436CA41,15898 - 0FCC00612436CA41
Resto Trasera.kmz::15899 - 0FCC0061243689ED,container,13616990684,-0.9843478525507451,37.603601928712536,677926.6593085782,4163745.4953255444,RESTO,TRASERA,Resto Trasera.kmz,15899 - 0FCC0061243689ED,15899 - 0FCC0061243689ED
